node,collocate,O_11,R_1,C_1,N
5%,of,227,798,2869001,87953849
5%,and,80,798,2356489,87953849
5%,a,76,798,1959164,87953849
5%,in,58,798,1796248,87953849
5%,to,58,798,2360965,87953849
5%,than,57,798,135377,87953849
5%,only,38,798,134894,87953849
5%,about,29,798,155776,87953849
5%,by,29,798,494868,87953849
5%,the,26,798,5634186,87953849
5%,from,24,798,401078,87953849
5%,with,23,798,611938,87953849
5%,around,22,798,39937,87953849
5%,at,21,798,474285,87953849
5%,or,19,798,332163,87953849
5%,co,15,798,4068,87953849
5%,on,13,798,648841,87953849
5%,between,12,798,86744,87953849
5%,is,11,798,885647,87953849
5%,just,11,798,86246,87953849
5%,were,11,798,284346,87953849
5%,co2,10,798,153,87953849
5%,least,9,798,28298,87953849
5%,over,9,798,118580,87953849
5%,was,9,798,797893,87953849
5%,are,8,798,416459,87953849
5%,per,7,798,52056,87953849
5%,stake,7,798,2023,87953849
5%,that,7,798,892393,87953849
5%,discount,6,798,1889,87953849
5%,for,6,798,811974,87953849
5%,had,6,798,390978,87953849
5%,if,6,798,204959,87953849
5%,increase,6,798,15750,87953849
5%,less,6,798,36437,87953849
5%,level,6,798,24599,87953849
5%,rate,6,798,18020,87953849
5%,almost,5,798,29125,87953849
5%,below,5,798,13600,87953849
5%,difference,5,798,9762,87953849
5%,further,5,798,34085,87953849
5%,initial,5,798,6357,87953849
5%,respectively,5,798,3182,87953849
5%,rise,5,798,10091,87953849
5%,this,5,798,395560,87953849
5%,up,5,798,172530,87953849
5%,2,4,798,34300,87953849
5%,above,4,798,24369,87953849
5%,average,4,798,9243,87953849
5%,fell,4,798,9717,87953849
5%,say,4,798,45056,87953849
5%,some,4,798,146537,87953849
5%,two,4,798,124747,87953849
5%,under,4,798,57755,87953849
5%,v,4,798,8528,87953849
5%,within,4,798,42913,87953849
5%,another,3,798,52308,87953849
5%,approximately,3,798,2678,87953849
5%,as,3,798,610797,87953849
5%,barium,3,798,149,87953849
5%,beliefs,3,798,2335,87953849
5%,chance,3,798,11677,87953849
5%,containing,3,798,4037,87953849
5%,could,3,798,139728,87953849
5%,cut,3,798,15055,87953849
5%,down,3,798,74944,87953849
5%,extra,3,798,8111,87953849
5%,found,3,798,44954,87953849
5%,giemsa,3,798,32,87953849
5%,nearly,3,798,9836,87953849
5%,o,3,798,2601,87953849
5%,plate,3,798,3656,87953849
5%,probability,3,798,1480,87953849
